,text,sentiment
1,scottwalker catch full gopdebate last night scott best lines seconds walker http co zsff,1
3,robgeorge carly fiorina trending hours debate men completed gopdebate says,1
4,danscavino gopdebate w realdonaldtrump delivered highest ratings history presidential debates trump http co,1
5,gregabbott tx tedcruz first day rescind every illegal executive action taken barack obama gopdebate foxnews,1
6,warriorwoman liked happy heard going moderator anymore gopdebate megynkelly https,0
8,deer headlights lizzwinstead ben carson may brain surgeon performed lobotomy gopdebate,0
9,nancyosborne last night debate proved gopdebate batsask badassteachersa tbats https co g ggjy bjd,0
10,jgreendc realdonaldtrump fairness billclinton owns phrase gopdebate,0
11,waynedupreeshow woke tweet gopdebate best line night via govmikehuckabee http co ov hxhicv,1
12,reading family comments great gopdebate http co giagjpygxz,0
14,pattonoswalt loved scott walker mark harmon romantic rival summer school look gopdebate,1
15,hey chrischristie exploiting tragedy political gain rudygiulianigop thing gopdebate,0
16,carolcnn donaldtrump fire comments women peterbeinart sl schaeffer iwf myrkiger weigh gopdebate http,0
17,johncardillo guess speaking time gopdebate foxnews moderators time http co wsut c lx,0
18,reason comment funny case ignorant gop tcot reason government working people gopdebate,0
19,pamelageller huckabee paying transgender surgery soldiers sailors airmen make country safer ha gopdebate,0
20,chucknellis cruz class amp truth gets vote gopdebate,1
21,mchamric teatraitors gopdebate still clown show glad head clown trump helping destroy gop http co nwgx g jwr,0
22,erinmallorylong hate planned parenthood women hate planned parenthood women gopdebate,0
24,mrpooni fox news trying convince us young black americans worried isis police terrorism gopdebate http co,0
25,gopdebate rankings worst performance rubio kasich christie bush trump cruz walker paul huckabee carson,0
26,thebaxterbean scott walker abortion ban allows rapist father sue emotional distress http co rhmvgumuir gopdebate badger,0
27,feministabulous competition moved far gay rights women rights worse ever g,0
28,mch teatraitors gopdebate still clown show glad head clown trump helping destroy gop http co pry qpcwfu,0
29,hillaryclinton watch gopdebate bet feel like donating democrat right http co pglqcqqgop http co qp e,0
30,fbhw going need borrow train horn next gopdebate little bell wimpy hornmeansyouredone,0
31,lisavikingstad ted cruz gopdebate like ted cruz bed keep confusingly sad look face refuse,0
34,winesdaypodcast update foxnews tech failures gopdebate http co fgglf j hu http co zw dkuozi,0
35,amymek torched passed gt candycrowley longer famous political assassin congratulations megynkelly u wi,0
36,stockwizards trump carson ticket would win landslide realdonaldtrump seanhannity anncoulter republican potus trump,0
37,kvxrdashian jeb bush obama fault brother obama clean mess brother made gopdebate http,0
38,ali fox news gopdebate primary voters none wiser policy plans folks putting forth journalism,0
40,mgell trump cross shrug emoji president business lego movie gopdebate,0
41,jamellemybelle meanwhile white house gopdebate http co nouuut hkq,0
43,brownblaze please kkkorgop gopdebate http co yaqyac uv,0
44,trump thinks criticism misogynistic remarks political correctness problem nope pervasive sexism problem gopdebate,0
45,lekarmasucre gopdebate handled blacklivesmatter http co zgdy lpct,0
48,danscavino gopdebate w realdonaldtrump delivered highest ratings history presidential debates trump fox say thanks,1
49,gov tweeted govmikehuckabee gopdebate moment saying purpose military kill people break things trans servicemembers,0
51,megynkelly chrisstirewalt big moments randpaul vs chrischristie realdonaldtrump reaction women question kellyfil,1
52,stylemom question hell women amp body parts even debate foh stop wtf gopdebate,0
53,rushlimbaugh americans getting beheaded overseas megynkelly worried whether realdonaldtrump calls rosie donnell fat gopdebate,0
54,chucknellis defend foxnews far fair balanced last night name calling juvenile gopdebate,0
55,theskysgoneout non christians gopdebate god questions underline little anyone really cares religious minorities chri,0
56,bipartisanism gopdebate response blacklivesmatter pathetic http co ismxbrrm h,0
57,factcheckdotorg jebbush said cut fl taxes b includes cuts estate taxes mandated federal law gopdebate ht,0
58,mydaughtersarmy dear gop want stop abortions gopdebate http co rbl ipx,0
59,karrattipaul join isis sign death warrant signed tedcruz next president us gopdebate wakeupamerica cruzcrew htt,1
60,p tus gopdebate closing statements http co nlillso,0
61,amymek status single broke foxnews last night goodbye megynkelly bretbaier amp chris wallace gopdebate http,0
62,frankluntz gopdebate focus groupers said favorable view trump saw positively http,1
63,holly renee made first donation carlyfiorina impressed gopdebate performance fiorina http co jlfhfvz st,1
64,thejimhughes want stop sending foreign aid places burn flag start berkeley gopdebate,0
68,mspackyetti donald trump campaign reveals important thing twitter trolls real people vote scare eve,1
69,bipartisanism saying worry trump never elected need remember elected george bush twice gopdebate http,0
70,fox news gopdebate agenda promote carly never mention fired hp fiorina amp run trump race http co k eujdfo,0
71,hlllary oh one thing anyone hear anything affordable child care working families last night gopdebate,0
72,naughtybeyotch allenwestrepub dear jebbush gopdebate notamistake http co wqnsupspkc,0
73,marthamaccallum billhemmer gopdebate bill martha team first debate nd debate ambush,1
74,country going hell megyn kelly foxnews attacking trump war women gopdebate,0
75,franklin graham st gopdebate encouraging see several candidates express faith god son jesus christ http c,1
76,snarkydemo donaldtrump said politically correct course trumpspeak let face huge asshole,0
77,bipartisanism message gopdebate candidates http co wfk cmvgin,0
78,davidcicilline worst episode apprentice ever seen gopdebate,0
80,lolhayley purpose military kill people break things something actual man running president said,0
81,wondering could get republican party pay liver transplant playing mtaibbi gopdebate drinking game last night,0
82,brandondhowell great way start friday carlyfiorina carlyfiorina gopdebate http co ai cuz,1
83,tedcruz elected first day president rescind every illegal unconstitutional executive order enacted pres oba,1
86,todd akin planned parenthood sting backfired republicans gopdebate standwithpp http co ekxpfkthqn,0
87,learjetter hey foxnews let republicans digest gopdebate allowing crazy dwstweets trash gop ladysandersfarm http,0
88,thebaxterbean watch donald trump receive enormous applause horribly misogynistic gopdebate answer http co r e tpotd http,0
90,even though super conservative reporter actually like megyn kelly interview style amp great gopdebate,1
91,kingsthings gopdebate debate series minute opportunities avoid answering question one candidate,0
92,melissagracey credit joke goes someone else funny gopdebate http co icredssplr,1
93,reince simply incredible http co apxm ao jf last night gopdebate doubled previous record watched primary debate,1
94,katethomas literally true watched gopdebate amp got lousy hangover http co cxch x,0
95,fl dreamer haha little saas voxdotcom morning towards realdonaldtrump factchecked gopdebate http co daectmllaj,0
97,zellieimani people saw person vs saw tv gopdebate http co qlgsxrh hw,0
98,thebaxterbean marco rubio told face candidate yesterday anti gay bigotry http co eiuettlf gopdebate ht,0
99,cariisie none made trump look place foolish yet think done crying think agai,0
101,great time watching gopdebate last night http co qcmxmu mlp,1
102,jrehling gopdebate donald trump says time political correctness calling women fat pigs save,0
103,theonlyadult potus one people tv might next one rip everything gopdebate http co,0
105,kirahoffy foxnews web stream mobile app fail gopdebate surprised http co tkpesooezt,0
106,johnkasich john kasich helped ohioans create new jobs america gopdebate http co kbzfbjyp c,1
107,please help maryknoll sisters replace windows convent https co fdgxg vv catholic gofundme trcot gopdebate,1
109,trump said jebbush true gentleman amp started violently ing gopdebate,0
110,cameronesposito ugh guys ever shut much respect women gopdebate,0
111,snarkydemo gopdebate teach us future president trump america probably safe except attacked,0
112,congoboy going long tiring election season shockingly ill informed candidates gopdebate http co vtk k txi,0
115,mattyiceaz scott walker even carry state gopdebate,0
116,xlnb black people need anymore indication republicans hate us peep gopdebate http co bh chsy eh,0
117,smethanie sure god told run tooth fairy agreed teletubbies voted yes gopdebate,0
118,palmaceiahome trump told megyn kelly go hell foxnews gopdebate,0
119,palmaceiahome caller rush limbaugh show lost respect fox news foxnews gopdebate,0
120,realdonaldtrump stinger inc realdonaldtrump megynkelly behaviour gopdebate astonishingly biased,0
121,republicans debate economics rubio wins bush falters huckabee exaggerates http co molloaqhwq gopdebate knowmorenotless gpnaplang,1
122,jamesviser huh half clinton charity went clintons http co bvwrosgwal copolitics hillary stophillary uniteb,0
123,kraig u gopdebate order take trump wonder fox news one took order seriously heidil rn,0
125,amymek owe realdonaldtrump huge thank exposing world megynkelly chris wallace amp frankluntz true rhinos,0
126,thebaxterbean scott walker lies says wi budget surplus actually b deficit http co vvmxzkxlkr gopdebate http,0
127,right last heard sensanders women could give birth child changed gopdebate https co hkcefp hf,1
129,frankconniff fox news gopdebate interviewer candidates take gop talking points feeding,0
130,lesliemac murder black ppl fine unborn black babies goplogic gopdebate,0
132,charlottelaws chris christie really standing gopdebate,1
133,libertyjibbet hey realdonaldtrump know whine unfair questions carlyfiorina grow set ya gopde,1
134,pro life watched hour abortion last night gopdebate forkedtongue iseeorangepeople,0
135,danscavino megynkelly failed american people tonight tried make history destroying realdonaldtrump kellyfai,0
136,edstetzer btw mix politics religion get politics gopdebate,0
137,teammarco marco nailed abortion must protect life gopdebate http co nn j,1
138,megynkelly bretbaier foxnews wtf chris wallace attacking trump bankruptcy giving rubio softball gopdebate,0
139,obviously get memo seersuckerthursday gopdebate http co lzagrrtzfl,0
140,vh honestly donald trump types petty last night gopdebate gt http co qxdoemfuqo http co mcr lrjh h,0
141,tuxcedocat republican dopefuls say take us back day one never see one day white house gopdebate,0
142,trump gloating abt buying gop dem pols amp bidding billionaire caricature myacash gopdebate https co spmu csic,0
143,peddoc go carly go carly go carly carlyfiorina carly gopdebate flyoverculture leahr steph maydnusa http co,1
144,daenerys listening gopdebate like http co jrcuqdafu,0
145,scorpionspriest best moment gopdebate last night rand telling christie go get another hug obama,1
146,johnfugelsang missed either gopdebate need know struggling americans unlimited war,0
147,pfikac jebbush verge greatest time alive world washington holding us back mysa txlege,0
148,drmartyfox trump wins drudge debate poll landslide tedcruz gopdebate pjnet http co yuh j qqha http,0
149,siteroi governorperry fights back abt immigration q says border porous must fixed first,1
150,summary gopdebate status quo shit show,0
151,thepatriot debbie blocks tweeter questioned dem debate schedule http co gxna toqaq gopdebate dwstweets http co kxikf,0
152,sallykohn hey look men standing stage arguing get control women bodies choices gopdebate,0
154,chrisjzullo last night gopdebate saw bunch rich old despots zero solutions nations problems un,0
156,rfhkerry think people qualified unfollow gopdebate,0
158,real illegal alien gopdebate farrakhan immigration mexican bor https co lklffn lfy via youtube,0
159,gopdebate talking heads put debate talking heads telling us debates went maybe wasted time watching,0
161,trump right megynkelly really needs study matthew verses gopdebate https co ygnprhiehv,1
164,maureenjohnson think women sleep curse shed open field property,0
165,think god pretty fair guy ben carson neurosurgeon belief modern day taxation based ancient book gopdebate,0
166,nancyleegrahn cheers gopdebate audience aftertrump defiantly named rosie woman called fat pig voices,0
167,blacklives matter apparently republican candidates president http co rfevfwsxx foxnews uniteblue gopdebate,0
168,overall main thing learned gopdebate straight white men matter,0
169,usfree life thought seanhannity best post gopdebate interviews night gave chance straighten position,1
170,johnkasich hey realdonaldtrump still looking chip check http co dy knz gopdebate,0
171,megynkelly bretbaier chriswallace america criticizing ur performances gopdebate b c u really bad job moderators,0
172,govmikehuckabee luntz lines go almost reach almost never happens dial research gopdebate rigged,0
173,oftenimprudent wish could teach teenage girls love much donald trump loves gopdebate,0
174,amymek conservatives people without network gopdebate foxnews,0
175,bhowl come talk climate change anyone even seen california right gopdebate debatewithbernie,0
177,chrisjzullo last night could raised hands spoiled billionaire oligarch racist religi,0
178,gopdebate teamdrbencarson realbencarson wow brilliant cool calm amp collected empowering,1
180,benjamminwalker circumstances men dictate abortion rights women st century better,0
181,danscavino gopdebate winner drudge k realdonaldtrump time k realdonaldtrump foxsd realdonaldtrump http,1
182,joeprich megynkelly chided candycrowley going objective moderator active participant gopdebate http,0
183,gopdebate foxnews realdonaldtrump called billclinton two timing slut stand statement,0
184,renomarky never watch kellyfile gopdebate questions pandering dwstweets making ratings http,0
185,imho gopdebate winners marcorubio kasich donaldtrump losers scottwalker randpaul bencarson others completely forgettable,1
186,johnkasich smaller govt ohio government payroll smaller decades http co igfif j tt gopdebate http co,1
188,jebbush challenging teacher unions beating way go jeb http co imgwdrl g gopdebate,0
190,theblaze real war women realdonaldtrump megynkelly rushlimbaugh gopdebate anncoulter,0
194,allthingsflynn trump vs fox news conflict quite conundrum like personification greed vs hate root,0
195,carlyfiorina know extraordinary nation gopdebate,1
196,laxnoreos meanwhile white house gopdebate http co mfs ixfovc,0
197,rubio still preference see point critics opportunism inconsistency gopdebate,1
198,realdonaldtrump ever tell megynkelly go wait car bad attitude suggests waronwomen gopdebate,1
199,thetexasphoenix fire governorperry fire debate performance https co w w sz gopdebate perry,1
201,realdonaldtrump frankluntz getting lot megynkelly hatemail tonight gopdebate totally overrated angry,0
202,literally true watched gopdebate amp got lousy hangover http co cxch xxq v robinmarty,0
203,jonvoyage half long gopdebate twice intelligible,0
204,lisabloom single question last night gopdebate urgent issue time climate change,0
205,gopdebate foxnews amp gotcha questions seemed designed elicit typical political spin responses tlot,0
206,gopdebate promises made startups tech conference seem quite reasonable,1
207,roy rogers knuckldraginsam gop realdonaldtrump yobynnad amen trump wakeupamerica gopdebate tcot stoprush http,0
209,zzcrane watching donald trump bandwagon pass tlot tcot gopdebate http co wvqlsxgmcl,0
210,deray gopdebate began moderators say million ppl discussing racial issues happened thos,0
211,feministabulous nothing like listening ten dudes never need abortion talk whether right,0
212,senwhitehouse fox silenced koch billions single question last night gopdebate climatechange deniers mond,0
213,tyriquex republicans rich care poverty america amp definitely care bout poverty bla,0
215,catching gopdebate lindseygrahamsc childish amp cheap move call billclinton amp hillaryclinton year old story,0
217,kesgardner ted cruz attack republicans gopdebate,0
218,governorperry icymi hell irandeal gopdebate perry tcot https co kqhjdjcgws,0
220,larhunter donald trump wins election know biff stole almanac timeline gopdebate,0
222,cenkuygur chris christie said work two years retiring get tens thousands less paid,0
223,johnkasich john kasich ready lead join team claire http co dy knz gopdebate https co knwmideqty,1
224,edwrather biggest losers debate fox moderators attacked instead moderating gopdebate,0
225,whitneyneal trump yet give single evidence based answer direct question policy frighten gopdeb,0
227,blkfeminst honestly think sometimes guys forgot came wombs kkkorgop gopdebate https co fo dxflf,0
228,grneyedmandy women shame women abortions deserve shamed soul self respect plannedparen,0
230,icaruspundit donald trump closing statement every dinner conversation villages ever gopdebate,0
231,thexclass rich wage war poor die jean paul sartre gop foreign policy gopdebate,0
232,gopdebate saw candidates completely miss mark race amp blacklivesmatter http co k nhdpue http co hlcqpxjzru,0
233,seabassthephish gop proud defeating teachers union even though wanted higher wages gopdebate,0
235,chucknellis foxnews got right gopdebate,0
236,mrskimcam trump said u stupid let vote president wtf people gopdebate,0
237,excited johnkasich gopdebate kasich us republicandebate kasich waiting years,1
239,hey look feelings donald trump summed one gif gopdebate http co zjwugwj hz,0
242,thebaxterbean marco rubio briefly backed immigration reform privately berated dreamers http co qdt kt gopdebate http,0
243,damienfahey french kissed jesus christ every candidate gopdebate,0
244,gopdebate closingstatements govmikehuckabee honest u defs talking realdonaldtrump coz stealing ur schtick,0
245,cnn msnbc new york times praise fox moderators know moderators fucked gopdebate,0
246,kesgardner trump lunatic gopdebate,0
247,cruz class amp truth gets vote gopdebate,1
248,kesgardner assclown reason anyone even talking illegal immigration keep digging donald gopdebate,0
249,berniesanders tom hanks finally somebody makes sense gopdebate debatewithbernie,1
250,southernhomo olivia pope would vote guys gopdebate,0
251,gop candidates want reduce taxes huckabee wants legalize prostitution drugs tax gopdebate,0
252,kesgardner hi fox panel ask donald every single question hand shovel keep digging,0
254,gopdebate trump breaking records polished politician makes love even https co tgowchxf x,1
255,berniesanders oh movie trailer gopdebate debatewithbernie,0
256,tacticaldissent sally kohn amp debbie wasserman schultz praising megyn kelly tonight tell everything need,0
257,trump accessory women wearing shoes gopdebate http co xz zc lt n,0
259,donald trump absolute nut entertaining lol gopdebate,0
